index,year,week,deaths,year.month,n_days,deaths.s,pop,pop.0to65,temp.max,temp.min,t.min,t.max,covid,covid.m,covid.w,covid.0to65,covid.65to80,covid.80plus,deaths.pc,share.m,counter
1996.27,1996,27,497,1996.07,0,497,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.99838986282828,50.87233940074669,-13
1996.28,1996,28,490,1996.07,0,490,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.47728578025324,50.87233940074669,-13
1996.29,1996,29,515,1996.07,0,515,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.33837178944983,50.87233940074669,-13
1996.30,1996,30,527,1996.07,0,527,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2316930738642,50.87233940074669,-13
1996.31,1996,31,506,1996.07,0,506,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.66838082613906,50.87233940074669,-13
1996.32,1996,32,475,1996.08,0,475,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.36063417473528,50.87233940074669,-13
1996.33,1996,33,476,1996.08,0,476,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.43507761510315,50.87233940074669,-13
1996.34,1996,34,508,1996.08,0,508,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.81726770687479,50.87233940074669,-13
1996.35,1996,35,472,1996.08,0,472,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.13730385363169,50.87233940074669,-13
1996.36,1996,36,440,1996.09,0,440,13.433017,6.833690000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.75511376186005,50.87233940074669,-13
